a,b,c,d
1.336272336,1.325011069,1.001019641,1.401401897
1.980264968,1.831835355,1.772288368,1.076485377
1.480387243,1.686839373,1.000574653,1.746758477
1.502106097,1.305141589,1.768608467,1.6546852
1.856602037,1.171448429,1.157971292,1.321231483
1.705973481,1.632688875,1.504016501,1.313622138
1.166724416,1.269733755,1.608569362,1.874427131
1.054040593,1.966439693,1.065595704,1.109448142
1.757839093,1.523885291,1.527210279,1.226936479
1.425383322,1.213701256,1.049020157,1.287597941
1.17683681,1.166533566,1.779373555,1.936486188
1.221545855,1.660821375,1.81178159,1.392565013
1.00135037,1.450185893,1.076469464,1.753367941
1.537323146,1.623778899,1.071851357,1.751200051
1.032284004,1.050181912,1.897562487,1.614129279
1.488804233,1.091374386,1.203803065,1.17970795
1.821115592,1.191406705,1.756962367,1.592383277
1.202698689,1.103978145,1.342236431,1.787626231
1.185217521,1.751554428,1.612737214,1.08842911
1.842810326,1.842356883,1.206588564,1.389939626
1.844033123,1.449981387,1.132197584,1.103938293
1.163877991,1.112353928,1.219087345,1.059326948
1.331902192,1.80802681,1.510172381,1.387539318
1.501642003,1.941300425,1.323752941,1.69091067
1.371519552,1.876330975,1.144357519,1.594585432
1.99432898,1.414771833,1.440279825,1.547651126
1.006799713,1.460372395,1.091869467,1.55172569
1.203857447,1.308069228,1.240755973,1.980956634
1.605779065,1.380763713,1.792922783,1.891649353
1.477304446,1.183489212,1.866534788,1.201153553
1.556262386,1.127412511,1.56689729,1.375828314
1.609455169,1.423830385,1.063128884,1.929641162
1.283014438,1.349947251,1.78665345,1.568573839
1.608309607,1.854790803,1.139445301,1.487584656
1.795001943,1.921310174,1.713141042,1.685499747
1.702916724,1.99422089,1.157829325,1.752602706
1.009322286,1.852385106,1.986982348,1.34136544
1.128520804,1.59624124,1.39684131,1.784855286
1.002236449,1.563735647,1.888664573,1.373864852
1.784282742,1.499219267,1.451702327,1.377078755
1.915890784,1.640995756,1.495687739,1.201717094
1.194972188,1.077999773,1.451646265,1.415696431
1.181324006,1.566170718,1.605631981,1.416567577
1.384887731,1.982113712,1.502717176,1.813578154
1.293214681,1.131784257,1.653358739,1.916341903
1.240499644,1.25836815,1.857672135,1.635348907
1.784507221,1.554938392,1.943035988,1.02091718
1.489080801,1.643766655,1.046644505,1.957888539
1.422845763,1.868912062,1.797250797,1.019856966
1.924186749,1.418500806,1.439438576,1.802400807
1.830562592,1.310897827,1.61293567,1.871664641
1.095943369,1.019040153,1.897991288,1.843088721
1.009327987,1.886621773,1.49702627,1.558591793
1.765945228,1.021081125,1.053794512,1.131820884
1.513732426,1.035074298,1.61888355,1.474121123
1.113584866,1.540640394,1.072944925,1.552755283
1.089567489,1.116549225,1.462666521,1.326426029
1.421117159,1.663216545,1.630966291,1.828644644
1.563735534,1.962920594,1.488361021,1.179301853
1.566514575,1.474658923,1.706939919,1.68432311
